Website,Section,Relevant Sentences,Classification from Model,,,
Dutchie,"In certain circumstances we may share the categories of Personal Information described above without further notice to you, unless required by the law, with the following categories of third parties:

Dispensaries: To provide the Service, we share certain Personal Information with Dispensaries and their service providers (such as point-of-sale systems) to enable Dispensaries to make their products available to Customers and for the Dispensaries’ own uses, including marketing, referrals, or promotions (such uses will be governed by a Dispensary’s own privacy policy).

Co-branded Areas: Certain areas of the Service may be provided to you in association with third parties (""Co-Branded Areas"") such as promotional partners. If you elect to register for products and/or services in Co-Branded Areas, communicate with such third parties or download their content or applications through the Service, your Personal Information will be shared with the relevant third party. Further, if you sign-in to a Co-Branded Area with your Dutchie account, your Personal Information may be disclosed to the identified third parties for that Co-Branded Area. We are not responsible for such third party's data collection or practices and you should look to such third party privacy policies for more information.

Vendors and Service Providers: To assist us in meeting business operations needs and to perform certain services and functions, we may share Personal Information with vendors and service providers, including providers of hosting services, cloud services, and other information technology services providers, email communication software and email newsletter services, advertising and marketing services, payment processors, customer relationship management and customer support services, and analytics services. Pursuant to our instructions, these parties will access, process, or store Personal Information in the course of performing their duties to us.

Business Transfers: If we are involved in a merger, acquisition, financing due diligence, reorganization, bankruptcy, receivership, dissolution, sale of all or a portion of our assets, or transition of service to another provider (collectively and each a ""Transaction""), your Personal Information and other information may be shared in the diligence process with counterparties and others assisting with a Transaction and transferred to a successor or affiliate as part of or following that Transaction along with other assets.

Legal Requirements: If required to do so by law or in the good faith belief that such action is necessary to (i) comply with a legal obligation, including to meet national security or law enforcement requirements, (ii) protect and defend our rights or property, (iii) prevent fraud, (iv) act in urgent circumstances to protect the personal safety of users of the Service, or the public, or (v) protect against legal liability.

Affiliates: We may share Personal Information with our current and future affiliates, meaning an entity that controls, is controlled by, or is under common control with Dutchie. Our affiliates may use the Personal Information we share in a manner consistent with this Privacy Policy. Affiliates may be located outside the United States of America and/or Canada.

Other Users: The Service may contain a community forum and message board where Users are able to create profiles, writings, reviews, photographs, ideas, videos, audio recordings, computer graphics, pictures, data, or other content, including Personal Information (collectively, ""User Content""). The Service may display, reproduce, publish, distribute or otherwise use User Content online or offline in any media or format (currently existing or hereafter developed) and may or may not attribute it to you. Others may have access to this User Content and may have the ability to share it. ... Dutchie, however, does not sell Personal Information
","Dutchie, however, does not sell Personal Information",,,,
Lyra Health,"Personally Identifiable Information: We will not rent or sell your personally identifiable information to others without your consent, although we may share it with partners for the purposes described above under “Use of Personal Information”, such as the provision and personalization of Services. For example, we may share your personal information with our contracted partners, such as Lyra Clinical Associates P.C., to provide you with Services, with third parties who help us with our business functions, such as payment processing or data storage, and with business partners. Such third parties are not authorized to use or disclose your information except as necessary to perform Services or comply with legal requirements, and are subject to agreements requiring them to maintain the confidentiality of any such information. If you seek treatment or other services from a clinical provider, such as Lyra Clinical Associates P.C. in its capacity as a health care provider, the use and disclosure of your health information in connection with such services will be governed by its separate HIPAA Notice of Privacy Practices, available at www.lyrahealth.com/hipaa-notice/. We also reserve the right to disclose personal data or other information that we believe, in good faith, is appropriate or necessary to (i) take precautions against liability, (ii) protect ourselves or others from fraudulent, abusive, or unlawful uses or activity, (iii) investigate and defend ourselves against any third-party claims or allegations, (iv) protect the security or integrity of the Service and any facilities or equipment used to make the Service available, or (v) protect our property or other legal rights, enforce our contracts, or protect the rights, property, or safety of others. ... We do not sell your personal information and therefore do not provide any mechanism for you to exercise the right to opt out.",We do not sell your personal information and therefore do not provide any mechanism for you to exercise the right to opt out.,,,,
Getaway,"We may share information with third parties in the following circumstances:

We may share your information, including Personal Information, so that we or others may provide you with periodic mailings, or may contact you regarding products, services, or events. If you do not wish for us to share your information in this manner, please let us know by contacting us at lodge@getaway.house.
We may employ other companies and people to perform tasks on our behalf and we may need to share Personal Information with them to provide services to you. For example, such parties may handle our data management and/or email distribution. Unless we tell you differently, they do not have any right to use your Personal Information beyond what is necessary to assist us.
We may share information, including Personal Information, with our corporate affiliates for our and their legitimate business purposes.
We will share Personal Information with third parties for other purposes if we have your express “opt-in” consent to do so.
We may disclose non-personal, aggregate, anonymous data in a de-identified format for any legitimate business purpose.
We may disclose Personal Information at the request of law enforcement or government agencies or in response to subpoenas, court orders, or other legal process to establish, protect, or exercise our legal or other rights or to defend against a legal claim, or as otherwise required or allowed by law.
We may disclose Personal Information if we believe that such action is appropriate to (a) protect the rights, property, or safety of a user of the Site or any other person, (b) investigate or prevent a violation by you of any contractual or other relationship with us, (c) investigate or prevent your actual or potential illegal, fraudulent, or harmful activity, or (d) detect, prevent, or otherwise address fraud, security, or technical issues.
We may share information, including Personal Information, in connection with, during negotiations of, or as a part of the closing of any merger, sale of company assets, financing, or acquisition of all or a portion of our business to another company.

We do not sell, rent, or lease any Personal Information that we collect about you through the Site to anyone for any purpose, other than as disclosed. ... We also share personal information with the following categories of third parties:

Analytics providers, like Google Analytics, who may use tracking technologies to measure the effectiveness of our Site. In connection with their analytics services, they may receive information about your internet or other similar network activity.
Verification services, like IDMe and SheerID, who confirm veteran/active military status for us when relevant to a booking.
We do not sell personal information to third parties","We also share personal information with the following categories of third parties:

Analytics providers, like Google Analytics, who may use tracking technologies to measure the effectiveness of our Site. In connection with their analytics services, they may receive information about your internet or other similar network activity.
Verification services, like IDMe and SheerID, who confirm veteran/active military status for us when relevant to a booking.
We do not sell personal information to third parties",,,,
Catalyst Software,"We may share your personal information with the following parties and as otherwise described in this Privacy Policy or at the time of collection.
Service providers. Third parties that provide services on our behalf or help us operate the Service or our business (such as hosting, information technology, customer support, email delivery, marketing, and website analytics).
Advertising partners. Third-party advertising companies for the interest based advertising purposes described above.
Business and marketing partners. Third parties with whom we collaborate on joint activities (such as co-sponsors of contests and promotions), with whom we have entered into joint marketing relationships or other joint ventures.
Professional advisors. Professional advisors, such as lawyers, auditors, bankers and insurers, where necessary in the course of the professional services that they render to us.
Authorities and others. Law enforcement, government authorities, and private parties, as we believe in good faith to be necessary or appropriate for the compliance and protection purposes described above.
Business transferees. Acquirers and other relevant participants in business transactions (or negotiations and diligence for such transactions) involving a corporate divestiture, merger, consolidation, acquisition, reorganization, sale or other disposition of all or any portion of the business or assets of, or equity interests in, Catalyst (including, in connection with a bankruptcy or similar proceedings).
","We may share your personal information with the following parties and as otherwise described in this Privacy Policy or at the time of collection.
Service providers. Third parties that provide services on our behalf or help us operate the Service or our business (such as hosting, information technology, customer support, email delivery, marketing, and website analytics).
Advertising partners. Third-party advertising companies for the interest based advertising purposes described above.
Business and marketing partners. Third parties with whom we collaborate on joint activities (such as co-sponsors of contests and promotions), with whom we have entered into joint marketing relationships or other joint ventures.
Professional advisors. Professional advisors, such as lawyers, auditors, bankers and insurers, where necessary in the course of the professional services that they render to us.
Authorities and others. Law enforcement, government authorities, and private parties, as we believe in good faith to be necessary or appropriate for the compliance and protection purposes described above.
Business transferees. Acquirers and other relevant participants in business transactions (or negotiations and diligence for such transactions) involving a corporate divestiture, merger, consolidation, acquisition, reorganization, sale or other disposition of all or any portion of the business or assets of, or equity interests in, Catalyst (including, in connection with a bankruptcy or similar proceedings).
",,,,
Rubrik,"Rubrik will not disclose your personal data to third parties, except in the following circumstances and in accordance with applicable laws:

With your consent.
To Rubrik’s service providers, who act on Rubrik’s behalf and instructions to fulfill product orders, deliver services, provide IT support and security services, and fulfill the other purposes set forth above.
To other Rubrik-owned business entities for the purposes of coordinating our global enterprise’s provision and development of products and services.
As required by applicable law, including, without limitation, in response to any government or regulatory agency request, to cooperate with law enforcement investigations, or upon receipt of any court order.
To a prospective or actual purchaser or seller in the context of a merger, acquisition or other reorganization or sale of Rubrik’s business or assets.  Rubrik’s practice is to seek appropriate protection for information in these types of transactions.  Rubrik will attempt to notify you by email and/or a prominent notice on the Rubrik website of any change in ownership and the choices you may have regarding your personal information.
To courts and public authorities to protect you, Rubrik or third parties from harm, including fraud or instances where somebody’s physical safety is at risk.
Service providers acting on Rubrik’s behalf shall be obliged to adhere to confidentiality requirements no less protective than those set forth herein and will only receive access to your personal data as necessary to perform their functions.

We also perform statistical analyses of the users of our Online Services to improve the content, design and navigation of the Online Services and our other products and services. In these cases, we use aggregate or statistical data that cannot reasonably be used to identify you. ... California law requires that we provide transparency about personal information we “sell,” which for the purposes of the CCPA broadly means scenarios in which Rubrik has exchanged personal information with third parties in exchange for valuable consideration. In the preceding 12 months, we have “sold” the following categories of personal information through our use of and participation in targeted online and mobile advertising: identifiers, internet or other electronic network activity information. We share identifiers such as cookies and advertising identifier associated with your mobile device with our advertising partners, and those partners use and share those identifiers to show ads that are targeted to your interests. Rubrik does not, and will not, sell your identifying information such as your name, email address, phone number, or postal address. California consumers above the age of 16 have the right to opt out of these sales at any time. Please visit our “Do Not Sell My Personal Information” webpage to learn more about your rights and to make an opt out request. We do not knowingly “sell” personal information about consumers under the age of 16.","CCPA broadly means scenarios in which Rubrik has exchanged personal information with third parties in exchange for valuable consideration. In the preceding 12 months, we have “sold” the following categories of personal information through our use of and participation in targeted online and mobile advertising: identifiers, internet or other electronic network activity information. We share identifiers such as cookies and advertising identifier associated with your mobile device with our advertising partners, and those partners use and share those identifiers to show ads that are targeted to your interests.",,,,
Gemini,"We will not share your Personal Information with third parties, except as described below:

A. Service Providers. We may share your Personal Information with third-party service providers for business or commercial purposes. Your Personal Information may be shared so that they can provide us with services, including identity verification, fraud detection and prevention, security threat detection, payment processing, customer support, data analytics, Information Technology, advertising, marketing, data processing, network infrastructure, storage, transaction monitoring, and tax reporting. We share your Personal Information with these service providers only so that they can provide us with services, and we prohibit our service providers from using or disclosing your Personal Information for any other purpose. Our third-party service providers are subject to strict confidentiality obligations.

B. Affiliates. We may share your Personal Information with our affiliates, for the purposes outlined above, and as it is necessary to provide you with our Services. 

C. Law Enforcement. We may be compelled to share your Personal Information with law enforcement, government officials, and regulators.

D. Corporate Transactions. We may disclose Personal Information in the event of a proposed or consummated merger, acquisition, reorganization, asset sale, or similar corporate transaction, or in the event of a bankruptcy or dissolution.

E. Professional Advisors. We may share your Personal Information with our professional advisors, including legal, accounting, or other consulting services for purposes of audits or to comply with our legal obligations. 

F. Consent. We may share or disclose your information with your consent. 

If we decide to modify the purpose for which your Personal Information is collected and used, we will amend this Privacy Policy. ... Gemini does not sell your Personal Information. ",Gemini does not sell your Personal Information. ,,,,
ClickUp,"Except as set forth in this Privacy Policy, the Cookie Policy, or the ClickUp Data Protection Addendum or as specifically authorized by you, we will not disclose any information to third parties outside of ClickUp.

Laws and Legal Rights
We may disclose your information (including personally identifiable information) if we believe in good faith that we are required to do so in order to comply with an applicable statute, regulation, rule or law, a subpoena, a search warrant, a court or regulatory order, or other valid legal process. We may disclose personally identifiable information in special circumstances when we have reason to believe that disclosing this information is necessary to identify, contact, or bring legal action against someone who may be violating our Terms of Service, to detect fraud, or to protect the safety and/or security of our users, the ClickUp Service or the general public. We are subject to the investigatory and enforcement powers of the Federal Trade Commission (FTC).

We also may be required to disclose an individual’s personal information in response to a lawful request by public authorities, including to meet national security or law enforcement requirements.

Outside Contractors
We may employ independent contractors, vendors and suppliers (collectively, ""Outside Contractors"") to provide specific services and products related to the ClickUp Service, such as hosting, credit card processing and fraud screening, and mailing list hosting for the ClickUp Service. In the course of providing products or services to us, these Outside Contractors may have access to information collected through the ClickUp Service, including your personally identifiable information. We require that these contractors agree to (1) protect the privacy of your personally identifiable information consistent with this Privacy Policy or the Data Protection Addendum and (2) not use or disclose your personally identifiable information for any purpose other than providing us with the products or services for which we contracted or as required by law. Please see our Data Protection Addendum for more information about subprocessors.

Sale of Business
We reserve the right to transfer information to a third party in the event of a sale, merger or other transfer of all or substantially all of the assets of ClickUp or any of its Corporate Affiliates (as defined herein), or that portion of ClickUp or any of its Corporate Affiliates to which the Service relates, or in the event that we discontinue our business or file a petition or have filed against us a petition in bankruptcy, reorganization or similar proceeding, provided that the third party agrees to adhere to the terms of this Privacy Policy.

Affiliates
We may disclose information (including personally identifiable information) about you to our Corporate Affiliates. For purposes of this Privacy Policy, ""Corporate Affiliate"" means any person or entity which directly or indirectly controls, is controlled by or is under common control with ClickUp, whether by ownership or otherwise. Any information relating to you that we provide to our Corporate Affiliates will be treated by those Corporate Affiliates in accordance with the terms of this Privacy Policy. ... ClickUp does not sell the personal information we collect. We only share your personal information as described in this Privacy Policy.",ClickUp does not sell the personal information we collect. We only share your personal information as described in this Privacy Policy.,,,,
Papa & Barkley,"The following entities have access to your personal information:

Our service providers
Our service providers have access to your personal information for business purposes, for commercial purposes, for managing your subscription, for securing your online payments, for fraud detection, for shipping your orders, and for collecting customer reviews. Your information will be treated with the same level of privacy and security as we are committed to providing, and will not be used for other purposes than that which we authorize.

Public authorities, judicial or administrative authorities
We may disclose your personal information when we are required or authorized by law to cooperate with local, national or international law enforcement or other authorities for the reporting of and/or investigation of improper or unlawful activities, or if we need to comply with court orders.

For CCPA purposes, we have disclosed your personal information to the categories of recipients listed below in the past 12 months:

Service providers ... we do not and will not sell any personal information to third parties for marketing or to any other parties for commercial purposes.","For CCPA purposes, we have disclosed your personal information to the categories of recipients listed below in the past 12 months:

Service providers ... we do not and will not sell any personal information to third parties for marketing or to any other parties for commercial purposes.",,,,
Superhuman,"In certain circumstances we may share your Personal Data with third parties without further notice to you, unless required by the law, as set forth below:

Vendors and Service Providers: To assist us in meeting business operations needs and to perform certain services and functions, we may share Personal Data with service providers, including web hosting, debugging services, email and productivity services, survey providers, data base and sales/customer relationship management services, customer service providers, payment processors; web and app analytics services, and data brokers. Notwithstanding the foregoing, we only share Email Content Data with our hosting provider (Google, Inc.). Pursuant to our instructions, these parties will access, process or store Personal Data in the course of performing their duties to us.
Business Transfers: If we are involved in a merger, acquisition, financing due diligence, reorganization, bankruptcy, receivership, sale of all or a portion of our assets, or transition of service to another provider, your Personal Data and other information may be shared in the diligence process with counterparties and others assisting with the transaction and transferred to a successor or affiliate as part of that transaction along with other assets.
Legal Requirements: If required to do so by law or in the good faith belief that such action is necessary to (i) comply with legal or regulatory obligations, (ii) protect and defend our rights or property, (iii) prevent fraud, (iv) act in urgent circumstances to protect the personal safety of users of the Site, or the public, or (v) protect against legal liability.","In certain circumstances we may share your Personal Data with third parties without further notice to you, unless required by the law, as set forth below:

Vendors and Service Providers: To assist us in meeting business operations needs and to perform certain services and functions, we may share Personal Data with service providers, including web hosting, debugging services, email and productivity services, survey providers, data base and sales/customer relationship management services, customer service providers, payment processors; web and app analytics services, and data brokers. Notwithstanding the foregoing, we only share Email Content Data with our hosting provider (Google, Inc.). Pursuant to our instructions, these parties will access, process or store Personal Data in the course of performing their duties to us.
Business Transfers: If we are involved in a merger, acquisition, financing due diligence, reorganization, bankruptcy, receivership, sale of all or a portion of our assets, or transition of service to another provider, your Personal Data and other information may be shared in the diligence process with counterparties and others assisting with the transaction and transferred to a successor or affiliate as part of that transaction along with other assets.
Legal Requirements: If required to do so by law or in the good faith belief that such action is necessary to (i) comply with legal or regulatory obligations, (ii) protect and defend our rights or property, (iii) prevent fraud, (iv) act in urgent circumstances to protect the personal safety of users of the Site, or the public, or (v) protect against legal liability.",,,,
Relativity Space,"Except as provided below, we do not share your personal information with third parties.   

Service Providers. We may share any personal information we collect about you with our third-party service providers. The categories of service providers (processors) to whom we entrust personal information include: IT and related services; information and services; employment application service providers; payment processors; customer service providers; manufacturers; and other third parties to support the provision of the Services such as the FAA and other similar agencies.  

Business Partners. We may provide personal information to business partners with whom we jointly offer products or services. In such cases, our business partner’s name will appear along with ours.  

Affiliates. We may share personal information with our affiliated companies.  

Advertising Partners.  Through our Services and on social media sites, third party advertising partners may set Technologies and other tracking tools to collect information regarding your activities and your device (e.g., your IP address, mobile identifiers, page(s) visited, location, time of day). We may also combine and share such information and other information (such as demographic information and past purchase history) with third party advertising partners. These advertising partners may use this information (and similar information collected from other websites) for purposes of delivering targeted advertisements to you when you visit third party websites within their networks. This practice is commonly referred to as “interest-based advertising” or “online behavioral advertising.” We may allow access to other data collected by the Services to share information that may be useful, relevant, valuable or otherwise of interest to you. If you prefer not to share your personal information with third party advertising partners, you may follow the instructions below.  

Disclosures to Protect Us or Others. We may access, preserve, and disclose any information we store associated with you to external parties if we, in good faith, believe doing so is required or appropriate to: comply with law enforcement or national security requests and legal process, such as a court order or subpoena; protect your, our or others’ rights, property, or safety; enforce our policies or contracts; collect amounts owed to us; or assist with an investigation or prosecution of suspected or actual illegal activity. 

Disclosure in the Event of Merger, Sale, or Other Asset Transfers. If we are involved in a merger, acquisition, financing due diligence, reorganization, bankruptcy, receivership, purchase or sale of assets, or transition of service to another provider, then your information may be sold or transferred as part of such a transaction, as permitted by law and/or contract.  

International Data Transfers. You agree that all information processed by us may be transferred, processed, and stored anywhere in the world, including but not limited to, the United States or other countries, which may have data protection laws that are different from the laws where you live. We have taken appropriate safeguards to require that your personal information will remain protected and require our third-party service providers and partners to have appropriate safeguards as well. Further details can be provided upon request.  

","Except as provided below, we do not share your personal information with third parties.   

Service Providers. We may share any personal information we collect about you with our third-party service providers. The categories of service providers (processors) to whom we entrust personal information include: IT and related services; information and services; employment application service providers; payment processors; customer service providers; manufacturers; and other third parties to support the provision of the Services such as the FAA and other similar agencies.  

Business Partners. We may provide personal information to business partners with whom we jointly offer products or services. In such cases, our business partner’s name will appear along with ours.  

Affiliates. We may share personal information with our affiliated companies.  

Advertising Partners.  Through our Services and on social media sites, third party advertising partners may set Technologies and other tracking tools to collect information regarding your activities and your device (e.g., your IP address, mobile identifiers, page(s) visited, location, time of day). We may also combine and share such information and other information (such as demographic information and past purchase history) with third party advertising partners. These advertising partners may use this information (and similar information collected from other websites) for purposes of delivering targeted advertisements to you when you visit third party websites within their networks. This practice is commonly referred to as “interest-based advertising” or “online behavioral advertising.” We may allow access to other data collected by the Services to share information that may be useful, relevant, valuable or otherwise of interest to you. If you prefer not to share your personal information with third party advertising partners, you may follow the instructions below.  

Disclosures to Protect Us or Others. We may access, preserve, and disclose any information we store associated with you to external parties if we, in good faith, believe doing so is required or appropriate to: comply with law enforcement or national security requests and legal process, such as a court order or subpoena; protect your, our or others’ rights, property, or safety; enforce our policies or contracts; collect amounts owed to us; or assist with an investigation or prosecution of suspected or actual illegal activity. 

Disclosure in the Event of Merger, Sale, or Other Asset Transfers. If we are involved in a merger, acquisition, financing due diligence, reorganization, bankruptcy, receivership, purchase or sale of assets, or transition of service to another provider, then your information may be sold or transferred as part of such a transaction, as permitted by law and/or contract.  

International Data Transfers. You agree that all information processed by us may be transferred, processed, and stored anywhere in the world, including but not limited to, the United States or other countries, which may have data protection laws that are different from the laws where you live. We have taken appropriate safeguards to require that your personal information will remain protected and require our third-party service providers and partners to have appropriate safeguards as well. Further details can be provided upon request.  

",,,,
Innovaccer,"We may share any information that you provide through the Services in the following circumstances.

SUBSIDIARIES AND AFFILIATES

We may share any information we receive with our subsidiaries and affiliates worldwide for any purposes described in this Privacy Policy.

VENDORS AND SERVICE PROVIDERS

We may share any information we receive with third-party vendors and service providers who facilitate one or more aspects of the business, product and service operations that we provide to you through the Services (e.g., search technology, discussion boards, bill collection, affiliate and rewards programs).

ANALYTICS PARTNERS

We use analytics services such as Inspectlet to collect and process certain analytics data. These services may also collection information about your use of other websites, apps, and online resources.

ADVERTISING PARTNERS

We work with third-party advertising partners to show you ads that we think may interest you. These advertising partners may set and access their own cookies, pixel tags and similar technologies on our Services and they may otherwise collect or have access to information about you which they may collect over time and across different online services. Some of our advertising partners are members of the Network Advertising Initiative or the Digital Advertising Alliance. If you do not wish to receive personalized ads, please visit their opt-out pages to learn about how you may opt out of receiving web-based personalized ads from member companies. You can access any settings offered by your mobile operating system to limit ad tracking, or you can install the AppChoices mobile app to learn more about how you may opt out of personalized ads in mobile apps.

OTHER USERS

Any Information that you voluntarily choose to include on or through the Services, including information in a publicly accessible area of the Services (such as a public profile page) or information you share with or allow to be shared with other users, will be available to anyone who has access to that content, including other users. We are not responsible for privacy practices of the other users who will view and use the posted information.

LEGAL REQUESTS

We cooperate with law enforcement and regulatory inquiries, as well as other third parties to enforce laws, such as intellectual property rights, fraud and other rights, to help protect you and the community from bad actors. Therefore, in response to a verified request by law enforcement or other government officials relating to a criminal investigation or alleged illegal activity and other legal process, we can (and you hereby authorize us to) disclose your name, city, state, telephone number, email address, user ID history, fraud complaints, and bidding and listing history without a subpoena. Further, we can (and you authorize us to) disclose information about you to protect your, our, or others’ rights, property, or safety, including disclosing your name, street address, city, state, zip code/pin code, country, phone number, email, and company name to intellectual property owners under a confidentiality agreement, as we in our sole discretion believe necessary or appropriate in connection with an investigation of fraud, intellectual property infringement, piracy, or other unlawful activity.

MERGER, SALE OF BUSINESS OR OTHER ASSET TRANSFERS

We may disclose and transfer information about you to service providers, advisors, potential transactional partners, or other third parties in connection with the consideration, negotiation, or completion of a corporate transaction in which we are acquired by or merged with another company or we sell, liquidate, or transfer all or a portion of our business or assets.

CONSENT

We may also disclose information from or about you or your devices with your permission. ... In the preceding twelve months, we have not sold any California resident’s Personal Information.","In the preceding twelve months, we have not sold any California resident’s Personal Information.",,,,
Flowcode,"We share your information with third parties as follows:

With Brands and Creators: We share information with Brands and Creators. For example, when we collect information about you in the context of your relationship with (or interaction with) a Brand or Creator, we may share that information with the Brand or Creator. We may also share personal information with Brands or Creators in other situations.
With Vendors: We may share your information with companies that provide services to us, including, without limitation, facilitating some aspects of our Sites or Services such as sending emails and fulfilling customer service requests.
With Affiliates: We may share information with other members of our corporate family for the purposes described in this Privacy Policy.
With Business Partners: Where we are permitted to do by applicable privacy laws and with your consent if required by law, we may share information with businesses with which we partner to offer you certain products, services, and promotions which may be of interest to you.
Legal Proceedings: We share information when we believe disclosure is appropriate due to a subpoena or similar investigative demand, a court order, or other request from a law enforcement or government agency; to establish or exercise our legal rights; to defend against legal claims; or as otherwise required by law;
Compliance: We share information when we believe disclosure is appropriate in connection with efforts to investigate, prevent, or take other action regarding illegal activity, suspected fraud or other wrongdoing; to protect and defend the rights, property or safety of our company, our users, our employees, or others; to comply with applicable law or cooperate with law enforcement; or to enforce our Services’ terms and conditions or other agreements or policies.
Corporate Transactions: We may disclose your information as part of, or to take steps in anticipation of, a sale of all or a portion of our business, a divestiture, merger, consolidation, or asset sale, a bankruptcy, or other significant corporate event. ... dtx does not “sell” and has not “sold” personal information in the way those terms are conventionally defined. For example, we do not sell email lists or any other personal information in exchange for monetary value from a purchaser. However, the CCPA defines a “sale” in very specific terms, that may encompass some situations when a website or application uses third-party cookies and similar technology for its own analytics or advertising purposes, even when the website or application pays the third-party provider (not vice versa). dtx, like most companies, does use those sorts of services.

For that reason, prior to the effective date of this Privacy Policy, dtx is considered to have engaged in such “sales” (as defined in the CCPA) of what the CCPA calls “identifiers” (like IP addresses), “internet or other electronic network activity information” (like information regarding an individual’s browsing interactions with a website or application), and “commercial information” (like the fact that a browser visited a particular page) to our analytics and advertising vendors. These practices continue today.

","However, the CCPA defines a “sale” in very specific terms, that may encompass some situations when a website or application uses third-party cookies and similar technology for its own analytics or advertising purposes, even when the website or application pays the third-party provider (not vice versa). dtx, like most companies, does use those sorts of services.

For that reason, prior to the effective date of this Privacy Policy, dtx is considered to have engaged in such “sales” (as defined in the CCPA) of what the CCPA calls “identifiers” (like IP addresses), “internet or other electronic network activity information” (like information regarding an individual’s browsing interactions with a website or application), and “commercial information” (like the fact that a browser visited a particular page) to our analytics and advertising vendors. These practices continue today.",,,,
Jerry,"We will not share your personal information with third parties without your consent. When you request to use Services offered by us, we may share the information we collect from and about you as described herein or at the time of collecting the information. In order to offer you the Services requested, we may share your personal information with third parties or service providers in the ways below. Any data obtained through SMS messaging program such as the jerry.ai mobile messaging program or a short code program will not be shared with any third parties for their marketing purposes.

Information that is necessary to provide you the products and services you request. We will share your information with insurance companies, reinsurance companies and their respective administrators, vendors, agents and third party service providers, including but not limited to insurance support organizations, that are engaged in services related to underwriting and issuing insurance policies as needed to provide you the insurance products and services you request. We will also share your information with third-party vendors, agents and other service providers that perform services on our behalf, as permitted by law and as needed to carry out their work for us, such as, billing, payments, servicing, web hosting or providing analytic services. We may share information such as your phone number or e-mail address with service providers who send texts or e-mails on our behalf. We may also share information with service providers that operate or analyze our online Services. We may share information with service providers that offer information about you or other household members, which we use in providing our Services. We may also share information with service providers that perform marketing or advertising services on our behalf. In addition, if you were referred to us by another company, we may share your information with that company as necessary to honor the terms of our agreement with that company and to provide you the financial products and services you request.FAffiliates. We may share information we collect from and about your with a parent, subsidiary, or affiliate entity within the Jerry corporate family. Any organization to which we provide such information is required to keep your information confidential and to only use such information in accordance with this Privacy Policy.

Partners. We may sometimes give you opportunities to interact with third party partners through our Services, such as when we provide you with the opportunity to review and send your personal information to a partner in order to pre-populate your application on the partner’s site or we send you to the partner’s site for you to provide the information directly to them. In some cases, if you click through to go to a partner’s site, you will automatically be sending your personal information to that partner. When this happens, any information you provide to the partner, whether through us or on your own, will be subject to their privacy practices and terms and conditions.

For legal reasons. We may share your information with companies, organizations or individuals as required by law or subpoena or if we reasonably believe that such action is necessary to (i) comply with, any applicable law, regulation, legal process or governmental request; (ii) enforce our Terms, detect, prevent or address fraud, or to protect the security or integrity of our Services and the products and services offered through our Services; and/or (iii) exercise or protect the rights, property, or personal safety of our users, us or others.

In connection with our sale or other significant transaction. We may share your information with companies, organizations or individuals in connection with a significant transaction, such as a merger, sale of our assets or shares, reorganization, financing, change of control or acquisition of all or a portion of our business by another company or third party or in the event of a bankruptcy or related or similar proceedings.

Information that is no longer personally identifiable. We may also aggregate or otherwise strip data of all personally identifying characteristics and may share that aggregated, anonymized data with other companies, organizations or individuals.","We will not share your personal information with third parties without your consent. When you request to use Services offered by us, we may share the information we collect from and about you as described herein or at the time of collecting the information. In order to offer you the Services requested, we may share your personal information with third parties or service providers in the ways below. Any data obtained through SMS messaging program such as the jerry.ai mobile messaging program or a short code program will not be shared with any third parties for their marketing purposes.

Information that is necessary to provide you the products and services you request. We will share your information with insurance companies, reinsurance companies and their respective administrators, vendors, agents and third party service providers, including but not limited to insurance support organizations, that are engaged in services related to underwriting and issuing insurance policies as needed to provide you the insurance products and services you request. We will also share your information with third-party vendors, agents and other service providers that perform services on our behalf, as permitted by law and as needed to carry out their work for us, such as, billing, payments, servicing, web hosting or providing analytic services. We may share information such as your phone number or e-mail address with service providers who send texts or e-mails on our behalf. We may also share information with service providers that operate or analyze our online Services. We may share information with service providers that offer information about you or other household members, which we use in providing our Services. We may also share information with service providers that perform marketing or advertising services on our behalf. In addition, if you were referred to us by another company, we may share your information with that company as necessary to honor the terms of our agreement with that company and to provide you the financial products and services you request.FAffiliates. We may share information we collect from and about your with a parent, subsidiary, or affiliate entity within the Jerry corporate family. Any organization to which we provide such information is required to keep your information confidential and to only use such information in accordance with this Privacy Policy.

Partners. We may sometimes give you opportunities to interact with third party partners through our Services, such as when we provide you with the opportunity to review and send your personal information to a partner in order to pre-populate your application on the partner’s site or we send you to the partner’s site for you to provide the information directly to them. In some cases, if you click through to go to a partner’s site, you will automatically be sending your personal information to that partner. When this happens, any information you provide to the partner, whether through us or on your own, will be subject to their privacy practices and terms and conditions.

For legal reasons. We may share your information with companies, organizations or individuals as required by law or subpoena or if we reasonably believe that such action is necessary to (i) comply with, any applicable law, regulation, legal process or governmental request; (ii) enforce our Terms, detect, prevent or address fraud, or to protect the security or integrity of our Services and the products and services offered through our Services; and/or (iii) exercise or protect the rights, property, or personal safety of our users, us or others.

In connection with our sale or other significant transaction. We may share your information with companies, organizations or individuals in connection with a significant transaction, such as a merger, sale of our assets or shares, reorganization, financing, change of control or acquisition of all or a portion of our business by another company or third party or in the event of a bankruptcy or related or similar proceedings.

Information that is no longer personally identifiable. We may also aggregate or otherwise strip data of all personally identifying characteristics and may share that aggregated, anonymized data with other companies, organizations or individuals.",,,,
