Website,Classification,Section,Relevant Sentences,
Target,Sale,"Business or Commercial purposes for which Target has collected or sold Personal Information about Guests in the preceding 12 months (for more information, see the How is Your Information Used section of this privacy policy). Categories of Personal Information Target has sold about Guests in the preceding 12 months

Categories of Personal Information sold

Internet or other electronic network activity (e.g. “cookies” or other tracking tags)
Categories of Third Parties to Whom Personal Information was Sold

Advertising Networks
Target does not knowingly sell the Personal Information of Minors Under the age of 16.","Business or Commercial purposes for which Target has collected or sold Personal Information about Guests in the preceding 12 months (for more information, see the How is Your Information Used section of this privacy policy).

Performing services, including maintaining or servicing accounts, providing customer service, processing or fulfilling orders and transactions, verifying customer information, processing payments, providing advertising or marketing services, providing analytics services, or providing similar services;
Auditing related to a current interaction with you and concurrent transactions, including, but not limited to, counting ad impressions to unique visitors, verifying positioning and quality of ad impressions, and auditing compliance;
Short-term, transient use, including, but not limited to, the contextual customization of ads shown as part of the same interaction;
Detecting security incidents, protecting against malicious, deceptive, fraudulent, or illegal activity, and prosecuting those responsible for that activity;
Debugging to identify and repair errors that impair existing intended functionality;
Undertaking internal research for technological development and demonstration; and
Undertaking activities to verify or maintain the quality or safety of a service or device that is owned, manufactured, manufactured for, or controlled by us, and to improve, upgrade, or enhance the service or device that is owned, manufactured, manufactured for, or controlled by us.
Categories of Personal Information Target has sold about Guests in the preceding 12 months

Categories of Personal Information sold

Internet or other electronic network activity (e.g. “cookies” or other tracking tags)
Categories of Third Parties to Whom Personal Information was Sold

Advertising Networks
Target does not knowingly sell the Personal Information of Minors Under the age of 16.

Categories of Personal Information Target has Disclosed for a Business Purpose and Categories of Third Parties to whom Personal Information has disclosed for a Business Purpose in the Preceding 12 Months",
Washington Post,Sale,"Sale of personal information. California law broadly defines “sale” in a way that may include the delivery of targeted advertising on the Services or other sites, including allowing third parties to receive certain information, such as cookies, IP address and/or browsing behavior. We may share the following categories of information for such advertising with advertising networks and providers, certain analytics providers, and social media networks, which may be considered a sale (as defined by California law):

device information and identifiers, such as IP address, and unique advertising identifiers and cookies; usage information, such as browsing history or app usage; location information, such as city; and inference data.","We may share the following categories of information for such advertising with advertising networks and providers, certain analytics providers, and social media networks, which may be considered a sale (as defined by California law):",
Realtor,Sale,"Categories of Personal Information Sold, Shared or Disclosed for a Business Purpose We may sell or disclose for a business purpose (each as defined under CCPA) any or all of the personal information collected from and about you as set forth in the Information We Collect and Obtain and Information We Share. Business or Commercial Purposes for Which We Collected or Sold the Personal Information

The business or commercial purposes, as defined under the CCPA, for which we collected or sold the personal information are:

performing services, including maintaining or servicing accounts, providing customer service, processing or fulfilling orders and transactions, verifying customer information, processing payments, providing advertising or marketing services, providing analytics services, or providing similar services;
auditing related to a current interaction with you and concurrent transactions, including, but not limited to, counting ad impressions to unique visitors, verifying positioning and quality of ad impressions, and auditing compliance;
short-term, transient use, including, but not limited to, the contextual customization of ads shown as part of the same interaction;
detecting security incidents, protecting against malicious, deceptive, fraudulent, or illegal activity, and prosecuting those responsible for that activity;
debugging to identify and repair errors that impair existing intended functionality;
undertaking internal research for technological development and demonstration; and
undertaking activities to verify or maintain the quality or safety of a service or device that is owned, manufactured, manufactured for, or controlled by us, and to improve, upgrade, or enhance the service or device that is owned, manufactured, manufactured for, or controlled by us.","The business or commercial purposes, as defined under the CCPA, for which we collected or sold the personal information are: We may sell or disclose for a business purpose (each as defined under CCPA) any or all of the personal information collected from and about you as set forth in the Information We Collect and Obtain and Information We Share.",
Medium,No Sale,Medium does not sell your personal information.,Medium does not sell your personal information.,
Tradingview,No Sale,"Separately, we do not sell your personal information.","Separately, we do not sell your personal information.",
Google,No Sale,"When Google shares your informationWe do not share your personal information with companies, organizations, or individuals outside of Google except in the following cases:With your consentWe’ll share personal information outside of Google when we have your consent. For example, if you use Google Home to make a reservation through a booking service, we’ll get your permission before sharing your name or phone number with the restaurant. We’ll ask for your explicit consent to share any sensitive personal information.With domain administratorsIf you’re a student or work for an organization that uses Google services, your domain administrator and resellers who manage your account will have access to your Google Account. They may be able to:Access and retain information stored in your account, like your emailView statistics regarding your account, like how many apps you installChange your account passwordSuspend or terminate your account accessReceive your account information in order to satisfy applicable law, regulation, legal process, or enforceable governmental requestRestrict your ability to delete or edit your information or your privacy settingsFor external processingWe provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. For example, we use service providers to help us with customer support.For legal reasonsWe will share personal information outside of Google if we have a good-faith belief that access, use, preservation, or disclosure of the information is reasonably necessary to:Meet any applicable law, regulation, legal process, or enforceable governmental request. We share information about the number and type of requests we receive from governments in our Transparency Report.Enforce applicable Terms of Service, including investigation of potential violations.Detect, prevent, or otherwise address fraud, security, or technical issues.Protect against harm to the rights, property or safety of Google, our users, or the public as required or permitted by law.We may share non-personally identifiable information publicly and with our partners — like publishers, advertisers, developers, or rights holders. For example, we share information publicly to show trends about the general use of our services. We also allow specific partners to collect information from your browser or device for advertising and measurement purposes using their own cookies or similar technologies.If Google is involved in a merger, acquisition, or sale of assets, we’ll continue to ensure the confidentiality of your personal information and give affected users notice before personal information is transferred or becomes subject to a different privacy policy.Keeping your information secureWe build security into our services to protect your informationAll Google products are built with strong security features that continuously protect your information. The insights we gain from maintaining our services help us detect and automatically block security threats from ever reaching you. And if we do detect something risky that we think you should know about, we’ll notify you and help guide you through steps to stay better protected.We work hard to protect you and Google from unauthorized access, alteration, disclosure, or destruction of information we hold, including:We use encryption to keep your data private while in transitWe offer a range of security features, like Safe Browsing, Security Checkup, and 2 Step Verification to help you protect your accountWe review our information collection, storage, and processing practices, including physical security measures, to prevent unauthorized access to our systemsWe restrict access to personal information to Google employees, contractors, and agents who need that information in order to process it. Anyone with this access is subject to strict contractual confidentiality obligations and may be disciplined or terminated if they fail to meet these obligations.",Google does not sell your personal information.,
Youtube,No Sale,"When Google shares your informationWe do not share your personal information with companies, organizations, or individuals outside of Google except in the following cases:With your consentWe’ll share personal information outside of Google when we have your consent. For example, if you use Google Home to make a reservation through a booking service, we’ll get your permission before sharing your name or phone number with the restaurant. We’ll ask for your explicit consent to share any sensitive personal information.With domain administratorsIf you’re a student or work for an organization that uses Google services, your domain administrator and resellers who manage your account will have access to your Google Account. They may be able to:Access and retain information stored in your account, like your emailView statistics regarding your account, like how many apps you installChange your account passwordSuspend or terminate your account accessReceive your account information in order to satisfy applicable law, regulation, legal process, or enforceable governmental requestRestrict your ability to delete or edit your information or your privacy settingsFor external processingWe provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. For example, we use service providers to help us with customer support.For legal reasonsWe will share personal information outside of Google if we have a good-faith belief that access, use, preservation, or disclosure of the information is reasonably necessary to:Meet any applicable law, regulation, legal process, or enforceable governmental request. We share information about the number and type of requests we receive from governments in our Transparency Report.Enforce applicable Terms of Service, including investigation of potential violations.Detect, prevent, or otherwise address fraud, security, or technical issues.Protect against harm to the rights, property or safety of Google, our users, or the public as required or permitted by law.We may share non-personally identifiable information publicly and with our partners — like publishers, advertisers, developers, or rights holders. For example, we share information publicly to show trends about the general use of our services. We also allow specific partners to collect information from your browser or device for advertising and measurement purposes using their own cookies or similar technologies.If Google is involved in a merger, acquisition, or sale of assets, we’ll continue to ensure the confidentiality of your personal information and give affected users notice before personal information is transferred or becomes subject to a different privacy policy.Keeping your information secureWe build security into our services to protect your informationAll Google products are built with strong security features that continuously protect your information. The insights we gain from maintaining our services help us detect and automatically block security threats from ever reaching you. And if we do detect something risky that we think you should know about, we’ll notify you and help guide you through steps to stay better protected.We work hard to protect you and Google from unauthorized access, alteration, disclosure, or destruction of information we hold, including:We use encryption to keep your data private while in transitWe offer a range of security features, like Safe Browsing, Security Checkup, and 2 Step Verification to help you protect your accountWe review our information collection, storage, and processing practices, including physical security measures, to prevent unauthorized access to our systemsWe restrict access to personal information to Google employees, contractors, and agents who need that information in order to process it. Anyone with this access is subject to strict contractual confidentiality obligations and may be disciplined or terminated if they fail to meet these obligations.",Google does not sell your personal information.,
Amazon,No Sale,"Information about our customers is an important part of our business, 
and we are not in the business of selling our customers' personal 
information to others. We share customers' personal information only as 
described below and with subsidiaries Amazon.com, Inc. controls that 
either are subject to this Privacy Notice or follow practices at least 
as protective as those described in this Privacy Notice. Transactions involving Third Parties: We make available to you services, products, applications, or skills provided by third parties for use on or through Amazon Services. For example, you can order products from third parties through our stores, download applications from third-party application providers from our App Store, and enable third-party skills through our Alexa services. We also offer services or sell product lines jointly with third-party businesses, such as co-branded credit cards. You can tell when a third party is involved in your transactions, and we share customers' personal information related to those transactions with that third party. Third-Party Service Providers: We employ other companies and individuals to perform functions on our behalf. Examples include fulfilling orders for products or services, delivering packages, sending postal mail and email, removing repetitive information from customer lists, analyzing data, providing marketing assistance, providing search results and links (including paid listings and links), processing payments, transmitting content, scoring, assessing and managing credit risk, and providing customer service. These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes. Business Transfers: As we continue to develop our business, we might sell or buy other businesses or services. In such transactions, customer information generally is one of the transferred business assets but remains subject to the promises made in any pre-existing Privacy Notice (unless, of course, the customer consents otherwise). Also, in the unlikely event that Amazon.com, Inc. or substantially all of its assets are acquired, customer information will of course be one of the transferred assets. Protection of Amazon and Others: We release account and other personal information when we believe release is appropriate to comply with the law; enforce or apply our Conditions of Use and other agreements; or protect the rights, property, or safety of Amazon, our users, or others. This includes exchanging information with other companies and organizations for fraud protection and credit risk reduction.","Information about our customers is an important part of our business, and we are not in the business of selling our customers' personal information to others.",
Yahoo,Unspecified,"Yahoo shares information within its affiliated brands and companies. We also share information we have about you for the purposes described in this Privacy Policy, including to provide Services that you have requested (including when you connect with third-party apps and widgets). We do not sell, license or share information that individually identifies our customers with companies, organizations or individuals outside of Yahoo unless one of the following circumstances applies: With Your Consent. We will share information with companies, organizations or individuals outside of Yahoo when we have your consent. Within Yahoo. Information may also be shared within Yahoo, including with other Yahoo Services and affiliates. Yahoo affiliates may use the information in a manner consistent with their privacy policies. With Partners. We may share your information with nonaffiliated companies who are: Trusted Partners. We provide user information to trusted partners who work on behalf of or with Yahoo based on our directions and in compliance with appropriate confidentiality measures. Learn more. Advertising, Analytics and Business Partners (Limited to Non-Personally Identifiable Information). We may share aggregated or pseudonymous information (including demographic information) with partners, such as publishers, advertisers, measurement analytics, apps, or other companies. For example, we may tell an advertiser how its ads performed or report how many people installed an app after seeing a promotion. We do not share personally identifiable information (like phone number or email address) with these partners, such as publishers, advertisers, ad agencies, or analytics partners. When you use third-party apps, websites or other products integrated with our Services, they may collect information about your activities subject to their own terms and privacy policies. We allow other companies that show advertisements on our webpages or apps to collect information from your browsers or devices. Other companies' use of cookies and other data collection technologies are subject to their own privacy policies, not this one. Like many companies, we may allow cookie matching with select partners. But, these parties are not authorized to access Yahoo cookies.","We do not sell, license or share information that individually identifies our customers with companies, organizations or individuals outside of Yahoo unless one of the following circumstances applies:",
Zoom,Sale,"Zoom provides personal data to third parties only with consent or in one of the following circumstances (subject to your prior consent where required under applicable law): Resellers: If an account owner licensed or purchased Zoom Products from a third-party reseller of Zoom Products, the reseller may be able to access personal data and content for users, including meetings, webinars, and messages hosted by the account owner. Vendors: Zoom works with third-party service providers to provide, support, and improve Zoom Products and technical infrastructure, and for business services such as payment processing. Zoom may also work with third-party service providers to provide advertisements and business analytics regarding Zoom Products. These vendors can access personal data subject to contractual and technical requirements for protecting personal data and prohibiting them from using personal data for any purpose other than to provide services to Zoom or as required by law. For Legal Reasons: Zoom may share personal data as needed to: (1) comply with applicable law or respond to, investigate, or participate in valid legal process and proceedings, including from law enforcement or government agencies; (2) enforce or investigate potential violations of its Terms of Service or policies; (3) detect, prevent, or investigate potential fraud, abuse, or safety and security concerns, including threats to the public; (4) meet our corporate and social responsibility commitments; (5) protect our and our customers’ rights and property; and (6) resolve disputes and enforce agreements. Marketing, Advertising, and Analytics Partners: Zoom uses third-party marketing, advertising, and analytics providers: to provide statistics and analysis about how people are using Zoom Products and our website; to provide advertising and marketing for Zoom Products, including targeted advertising based on your use of our website; and to show you third-party advertising within Zoom Products. These third-party partners may receive information about your activities on Zoom’s website through third-party cookies placed on Zoom’s website. To opt out of our use of third-party cookies that share data with these partners, visit our cookie management tool, available here. Where required by law, Zoom will first obtain your consent before engaging in the marketing or advertising activities described. Corporate Affiliates: Zoom shares personal information with corporate affiliates, such as Zoom Voice Communications, Inc., to provide integrated and consistent experiences across Zoom Products (such as enabling a user to integrate a Zoom Phone call into a meeting) to detect, investigate, and prevent fraud, abuse, and threats to public safety. Change of Control: We may share personal data with actual or prospective acquirers, their representatives and other relevant participants in, or during negotiations of, any sale, merger, acquisition, restructuring, or change in control involving all or a portion of Zoom’s business or assets, including in connection with bankruptcy or similar proceedings.","Marketing, Advertising, and Analytics Partners: Zoom 
uses third-party marketing, advertising, and analytics providers: to 
provide statistics and analysis about how people are using Zoom Products
 and our website; to provide advertising and marketing for Zoom 
Products, including targeted advertising based on your use of our 
website; and to show you third-party advertising within Zoom Products. 
These third-party partners may receive information about your activities
 on Zoom’s website through third-party cookies placed on Zoom’s website.
 To opt out of our use of third-party cookies that share data with these
 partners, visit our cookie management tool, available here.
 Where required by law, Zoom will first obtain your consent before 
engaging in the marketing or advertising activities described.",
Facebook,No Sale,"We work with third-party partners who help us and improve our Products 
or who use Facebook Business Tools to grow their businesses, which makes
 it possible to operate our companies and provide free services to 
people around the world. We don't sell any of your information to 
anyone, and we never will. We also impose strict restrictions on how our
 partners can use and disclose the data we provide. Here are the types 
of third parties we share information with: ","We don't sell any of your information to anyone, and we never will",
Reddit,Unspecified,"We will not share, sell, or give away any of our users’ personal information to third parties, unless one of the following circumstances applies: Except as it relates to advertisers and our ad partners, we may share information with vendors, consultants, and other service providers who need access to such information to carry out work for us; If you participate in contests, sweepstakes, promotions, special offers, or other events or activities in connection with our Services, we may share information with entities that partner with us to provide these offerings; We may share information (and will attempt to provide you with prior notice, to the extent legally permissible) in response to a request for information if we believe disclosure is in accordance with, or required by, any applicable law, regulation, legal process or governmental request, including, but not limited to, meeting national security or law enforcement requirements;","We will not share, sell, or give away any of our users’ personal information to third parties, unless one of the following circumstances applies",
Wikipedia,No Sale,"We are committed to: Describing how your information may be used or shared in this Privacy Policy. Using reasonable measures to keep your information secure. Never selling your information or sharing it with third parties for marketing purposes. Only sharing your information in limited circumstances, such as to improve the Wikimedia Sites, to comply with the law, or to protect you and others. Retaining your data for the shortest possible time that is consistent with maintaining, understanding, and improving the Wikimedia Sites, and our obligations under applicable law.",Never selling your information or sharing it with third parties for marketing purposes.,
MyShopify,Unspecified,"Where we send your information We are a Canadian company, but we work with and process data about 
individuals across the world. To operate our business, we may send your 
personal information outside of your state, province, or country, 
including to the United States. This data may be subject to the laws of 
the countries where we send it. When we send your information across 
borders, we take steps to protect your information, and we try to only 
send your information to countries that have strong data protection 
laws. Transfers outside of Europe and Switzerland. If you are in Europe or Switzerland, your personal information is controlled by our Irish affiliate, Shopify International Ltd. Your information is then sent to other Shopify locations and to service providers who may be located in other regions, including Canada (where we are based) and the United States. When we send your personal information outside of Europe, we do so in accordance with European law. If you are in Europe or Switzerland, when we send your personal information to Canada it is protected under Canadian law, which the European Commission has found will adequately protect your information. If we then send this personal information outside of Canada (for example, when we send this information to our Subprocessors), this information is protected by contractual commitments that are comparable to those provided in Standard Contractual Clauses. Finally, while we do what we can to protect your information, we may at times be legally required to disclose your personal information (for example, if we receive a valid court order). For information about how we respond to such orders, please review our Guidelines for Legal Requests.","To operate our business, we may send your personal information outside of your state, province, or country, including to the United States.",
Ebay,Unspecified,"We process your personal data for various purposes and based on several different legal bases that allow this processing. For example, we process your personal data to provide and improve our Services, to provide you with a personalized user experience on this website, to contact you about your eBay account and our Services, to provide customer service, to provide you with personalized advertising and marketing communications, and to detect, prevent, mitigate and investigate fraudulent or illegal activity. We also share your information with third parties, including service providers acting on our behalf, for these purposes. In addition, we may share your personal data among eBay group companies in order to fulfil our contract with you under the User Agreement and, if applicable, the Payments Terms of Use.","We also share your information with third parties, including service providers acting on our behalf, for these purposes. In addition, we may share your personal data among eBay group companies in order to fulfil our contract with you under the User Agreement and, if applicable, the Payments Terms of Use.",
Office,Unspecified,We share your personal data with your consent or to complete any transaction or provide any product you have requested or authorized.,We share your personal data with your consent or to complete any transaction or provide any product you have requested or authorized. We also share data with Microsoft-controlled affiliates and subsidiaries; with vendors working on our behalf; when required by law or to respond to legal process; to protect our customers; to protect lives; to maintain the security of our products; and to protect the rights and property of Microsoft and its customers.,
Live,Unspecified,We share your personal data with your consent or to complete any transaction or provide any product you have requested or authorized.,We share your personal data with your consent or to complete any transaction or provide any product you have requested or authorized. We also share data with Microsoft-controlled affiliates and subsidiaries; with vendors working on our behalf; when required by law or to respond to legal process; to protect our customers; to protect lives; to maintain the security of our products; and to protect the rights and property of Microsoft and its customers.,
Netflix,No Sale,"You have the right to request that we disclose: what categories and specific pieces of CCPA personal information have been collected about you; the categories of sources from which CCPA personal information are collected; our business or commercial purpose for collecting, using, or disclosing CCPA personal information; the categories of third parties with whom we share CCPA personal information; the categories of CCPA personal information we have disclosed about you for a business purpose. We do not sell personal information.",We do not sell personal information.,
Bing,No Sale,"Sharing or Disclosing Personal Information In addition to any sharing described in the privacy statement for the product or service you are using, Microsoft may share or disclose personal With other Microsoft controlled subsidiaries and affiliates. information: As part of a corporate transaction such as a merger or sale of assets. With vendors or agents.  Specifically, we may share it with companies 
we’ve hired to provide services on our behalf.  When we share 
information with these other companies to provide services for us, they 
are not allowed to use it for any other purpose and must keep it 
confidential.","In addition to any sharing described in the privacy statement for the product or service you are using, Microsoft may share or disclose personal information",
Microsoft,Unspecified,We share your personal data with your consent or to complete any transaction or provide any product you have requested or authorized.,We share your personal data with your consent or to complete any transaction or provide any product you have requested or authorized. We also share data with Microsoft-controlled affiliates and subsidiaries; with vendors working on our behalf; when required by law or to respond to legal process; to protect our customers; to protect lives; to maintain the security of our products; and to protect the rights and property of Microsoft and its customers.,
Instructure,No Sale,"DISCLOSURE OF YOUR PERSONAL INFORMATION. We will share your personal information with third parties only in the 
ways that are described in this privacy policy or with your consent. AFFILIATES. Although we currently do not have a parent company, any subsidiaries, joint ventures, or other companies under a common control (collectively, “AFFILIATES”), we may in the future. We may share some or all of your information with these Affiliates, in which case we will require our Affiliates to honor this Privacy Policy. THIRD PARTY SERVICE PROVIDERS. We may share your personal information with third party service providers for the sole purpose of providing you with the Services that we offer you through our Site. For example, we may share data with service providers who host our websites or provide email services on our behalf. OTHER DISCLOSURES. Instructure may disclose information about you if it believes such disclosure is necessary to (a) comply with laws or to respond to lawful requests and legal process; or (b) protect or defend the rights, safety, or property of Instructure, users of the Services, or any person including to enforce our agreements, policies, and terms of use or (c) in an emergency to protect the personal safety of any person. We may also share information about you in connection with or during negotiation of any merger, financing, acquisition, bankruptcy, dissolution, transaction or proceeding involving sale, transfer, divestiture or disclosure of all or a portion of our business or assets to another company. In the event that information is shared in this manner, notice will be posted on our Site. We may also use de-identified and/or aggregated data for our own use. We do not use information collected through the Products for advertising or marketing purposes.",We will share your personal information with third parties only in the ways that are described in this privacy policy or with your consent.,
Instagram,No Sale,"3. SHARING OF YOUR INFORMATION We will not rent or sell your information to third parties outside 
Instagram (or the group of companies of which Instagram is a part) 
without your consent, except as noted in this Policy. Parties with whom we may share your information: We may share your information as well as information from tools like cookies, log files, and device identifiers and location data (such as usage data, referring/exit pages and URLs, platform types, number of clicks, etc.), with organizations that help us provide the Service to you (""Service Providers""). Our Service Providers will be given access to your information as is reasonably necessary to provide the Service under reasonable confidentiality terms. Parties with whom you may choose to share your User Content: Any information or content that you voluntarily disclose for posting to the Service, such as User Content, becomes available to the public, as controlled by any applicable privacy settings that you set. To change your privacy settings on the Service, please change your profile setting. Once you have shared User Content or made it public, that User Content may be re-shared by others.","We will not rent or sell your information to third parties outside Instagram (or the group of companies of which Instagram is a part) without your consent, except as noted in this Policy.",
Twitch,Unspecified,"We share such information as described below: We disclose such information to service providers working on our behalf,
 such as, to: provide website hosting, maintenance, and security 
services; fulfill orders; conduct data analysis and create reports; 
offer certain functionality; or assist Twitch in improving the Twitch 
Services and creating new services and features. We require that these 
parties process such information in compliance with this Privacy Notice,
 we authorize them to use the information only for the purposes for 
which it is provided to them, and we require them to use reasonable 
confidentiality measures. Twitch may make information available to our affiliates (meaning entities controlled by, controlling, or under common control with Twitch), including Amazon.com, Inc. and its subsidiaries that are either subject to this Privacy Notice or follow practices at least as protective as those described in this Privacy Notice.",,
Microsoft Online,Unspecified,We share your personal data with your consent or to complete any transaction or provide any product you have requested or authorized.,We share your personal data with your consent or to complete any transaction or provide any product you have requested or authorized. We also share data with Microsoft-controlled affiliates and subsidiaries; with vendors working on our behalf; when required by law or to respond to legal process; to protect our customers; to protect lives; to maintain the security of our products; and to protect the rights and property of Microsoft and its customers.,
Zillow,No Sale,"Zillow allows certain companies to place tracking technologies like cookies and pixels on our sites, which allow those companies to receive information about your activity on Zillow that is associated with your browser or device. The companies may use that data to serve you more relevant ads on our sites or others. Under some state laws, sharing data for online advertising like this may be considered a “sale” of information. Except for this kind of sharing, Zillow doesn’t sell any of your information.","Except for this kind of sharing, Zillow doesn’t sell any of your information.",
CNN,Unspecified,"We may disclose the Information as follows: To service providers that we have engaged to perform 
business-related functions on our behalf. This may include service 
providers that: (a) conduct research and analytics; (b) provide 
customer, technical or operational support; (c) conduct or support 
marketing (such as, email platforms); (d) fulfill orders and user 
requests; (e) handle payments; (f) host our services, (g) maintain 
databases; (h) otherwise support our Services. In response to legal process, for example, in response to a court order or a subpoena, a law enforcement or government agency's request or similar request. With third parties in order to investigate, prevent, or take action (in our sole discretion) regarding potentially illegal activities, suspected fraud, situations involving potential threats to any person, us, or the services, or violations of our policies, the law or our Terms of Use, to verify or enforce compliance with the policies governing our services. We may also share Information where it is necessary for compliance with a legal obligation to which we are subject, for example, if we are required to disclose Information to a law enforcement agency. We may transfer some or all of your Information if we, or one of our business units, undergoes a business transition, like a merger, acquisition by another company, or sale of all or part of our assets, or if a substantial portion of our or of a business unit’s assets is sold or merged in this way. We may share the Information with Turner Affiliates (as listed below), to better tailor our services to you, appropriately process your requests depending on your region or country, including, when you subscribe to our regional newsletter, order a product or service, or request further information, and for internal reporting, so they can communicate directly with you about the products and services that you require or may be of interest to you.",We may disclose the Information as follows,
Chase,Unspecified,"We may share the information we collect from and about you with our affiliates and other third parties. For example, we may share your information with: Chase third-party service providers; Chase affiliated websites and businesses in an effort to bring you improved service across our family of products and services, when permissible under relevant laws and regulations; Other companies to bring you co-branded services, products or programs; Third parties or affiliates in connection with a corporate transaction, such as a sale, consolidation or merger of Chase businesses; and",We may share the information we collect from and about you with our affiliates and other third parties,
Intuit,No Sale,No sale of personal information to third parties. We do not and will not sell personal information to third parties. We do share personal information with third parties for the business purposes described in this Statement.,We do not and will not sell personal information to third parties,
Adobe,Sale,"We will also share your personal information with other third-party data controllers. The types of third parties your information may be shared with include: our resellers and other sales and advertising partners, retailers, research organizations, advertisers, ad agencies, advertising networks and platforms, information service providers, fraud monitoring and prevention providers, publishers, and non-profit organizations (with your consent, if required). Third-party data controllers may also use Adobe products and services to collect and process your personal information. If you are using an email address that is associated with a business domain (e.g., yourname@businessname.com) to access Adobe's apps and websites, or if you were invited to use the apps and websites by a business, we may provide your personal information to that business.",We will also share your personal information with other third-party data controllers,
Apple,No Sale,"Apple may share personal data with Apple-affiliated companies, service providers who act on our behalf, our partners, developers, and publishers, or others at your direction. Further, Apple does not share personal data with third parties for their own marketing purposes.","Further, Apple does not share personal data with third parties for their own marketing purposes.",
Linkedin,Unspecified,"We will share your personal data with our affiliates to provide and develop our Services. We may combine information internally across the different Services covered by this Privacy Policy to help our Services be more relevant and useful to you and others. For example, we may personalize your feed or job recommendations based on your learning history.",We will share your personal data with our affiliates to provide and develop our Services. ,
Etzy,Sale,"Etsy may also use first party data (e.g. your prior shopping and browsing patterns on our Site), and may combine it with other data collected from you, such as your location, or publicly available information, to permit us to create targeted audiences based on your known or inferred demographic and/or interests to provide you with more relevant and useful advertising on our site, in our direct marketing channels (like email), or with our off site marketing partners, like Google and Facebook, subject to their terms and privacy notice you agreed to with such partners .","Etsy may also use first party data (e.g. your prior shopping and browsing patterns on our Site), and may combine it with other data collected from you, such as your location, or publicly available information, to permit us to create targeted audiences based on your known or inferred demographic and/or interests to provide you with more relevant and useful advertising on our site",
Walmart,No Sale,"We are careful to share your personal information in ways that respect your privacy and only as described in this Policy. We view you as a valued customer, not a product, and we do not sell or rent your personal information to others for money. All of the categories of personal information that we collect have been shared with other companies, including those within our corporate family, for a business purpose. We may share your personal information in the following circumstances:",We do not sell or rent your personal information to others for money.,
Dropbox,No Sale,"We may share information as discussed below, but we won’t sell it to advertisers or other third parties. 
    Others working for and with Dropbox. Dropbox uses certain trusted third parties (for
    example, providers of customer support and IT services) for the business purposes of helping us
    provide, improve, protect, and promote our Services. These third parties will access your
    information to perform tasks on our behalf, and we’ll remain responsible for their
    handling of your information per our instructions. For a list of trusted third parties that we
    use to process your personal data and more details on the categories of personal information
    that we’ve disclosed, please see our
    FAQ.
   Other Dropbox Companies. Dropbox shares infrastructure, systems, and technology with other Dropbox Companies to provide, improve, protect, and promote Dropbox Company Services. We process your information across the Dropbox Companies for these purposes, as permitted by applicable law and in accordance with their terms and policies. For more information on Dropbox Companies, Dropbox Company Services, and how your data is used, please see our FAQ.  Other users. Our Services display information like your name, profile picture, device, email address, and usage information to other users you collaborate or choose to share with. When you register your Dropbox account with an email address on a domain owned by your employer or organization, we may help collaborators and administrators find you and your team by making some of your basic information—like your name, team name, profile picture, and email address—visible to other users on the same domain. This helps you sync up with teams you can join and helps other users share files and folders with you. ","We may share information as discussed below, but we won’t sell it to advertisers or other third parties.",
New York Times,No Sale,"There are situations when we share your information with third parties beyond our service providers. We never share your email address with these third parties without your consent, except in encrypted form to engage in the matched ads process described above.",There are situations when we share your information with third parties beyond our service providers,
ESPN,No Sale,"We will not share your personal information with a third party outside The Walt Disney Family of Companies except in limited circumstances, including: When you allow us to share your personal information with another 
company, by electing to share your personal information with carefully 
selected companies so that they can send you offers and promotions about
 their products and services; When you direct us to share your personal information with another company to fulfill your request, such as:

    When you book travel packages with us that include goods or services provided by third-party partners, such as airlines, ground transportation providers, third-party hotels, and travel insurance providers; and
    When you book dining reservations through us for restaurants operated by third parties. else who accesses Twitter through a third-party service, keep in mind that the information may be shared with the third-party service",We will not share your personal information with a third party outside The Walt Disney Family of Companies except in limited circumstances,
Twitter,Unspecified,"We share or disclose your personal data with your consent or at your direction, such as when you authorize a third-party web client or application to access your account or when you direct us to share your feedback with a business. If you’ve shared information like Direct Messages or protected Tweets with someone else who accesses Twitter through a third-party service, keep in mind that the information may be shared with the third-party service","We share or disclose your personal data with your consent or at your direction, such as when you authorize a third-party web client or application to access your account or when you direct us to share your feedback with a business.",
